Functia: DeJong1, Dimensiune: 5, Strategie: First Improvement, Best: 11.3216472, Worst: 96.7901646, Mean: 45.6536785, Sigma: 20.4423875, Evaluari medii: 1000000.5200000, Rulari: 50
Functia: DeJong1, Dimensiune: 5, Strategie: Best Improvement, Best: 13.1947940, Worst: 95.7303240, Mean: 46.3195187, Sigma: 19.7404646, Evaluari medii: 1000001.0000000, Rulari: 50
Functia: DeJong1, Dimensiune: 5, Strategie: Worst Improvement, Best: 17.1168035, Worst: 82.6791827, Mean: 46.2657247, Sigma: 16.0936153, Evaluari medii: 1000001.0000000, Rulari: 50
Functia: DeJong1, Dimensiune: 5, Strategie: Simulated Annealing, Best: 0.0632844, Worst: 0.3796046, Mean: 0.1838865, Sigma: 0.0847815, Evaluari medii: 1000000.0000000, Rulari: 50
Functia: DeJong1, Dimensiune: 10, Strategie: First Improvement, Best: 47.6046407, Worst: 150.2320934, Mean: 93.7844957, Sigma: 27.5151620, Evaluari medii: 2000001.0800000, Rulari: 50
Functia: DeJong1, Dimensiune: 10, Strategie: Best Improvement, Best: 35.2608515, Worst: 156.4029090, Mean: 87.8137672, Sigma: 22.4585480, Evaluari medii: 2000001.0000000, Rulari: 50
Functia: DeJong1, Dimensiune: 10, Strategie: Worst Improvement, Best: 30.6920384, Worst: 141.6548477, Mean: 84.6393992, Sigma: 27.0965437, Evaluari medii: 2000001.0000000, Rulari: 50
Functia: DeJong1, Dimensiune: 10, Strategie: Simulated Annealing, Best: 1.3328931, Worst: 5.9999274, Mean: 4.6009061, Sigma: 0.9208628, Evaluari medii: 2000000.0000000, Rulari: 50
Functia: DeJong1, Dimensiune: 30, Strategie: First Improvement, Best: 183.5966147, Worst: 349.1761268, Mean: 267.6020138, Sigma: 38.6898412, Evaluari medii: 6000000.7800000, Rulari: 50
Functia: DeJong1, Dimensiune: 30, Strategie: Best Improvement, Best: 155.1662465, Worst: 372.5384183, Mean: 273.3549730, Sigma: 41.4897964, Evaluari medii: 6000001.0000000, Rulari: 50
Functia: DeJong1, Dimensiune: 30, Strategie: Worst Improvement, Best: 186.0666723, Worst: 369.0078940, Mean: 263.8500493, Sigma: 41.3414447, Evaluari medii: 6000001.0000000, Rulari: 50
Functia: DeJong1, Dimensiune: 30, Strategie: Simulated Annealing, Best: 50.6748241, Worst: 85.7952247, Mean: 73.5839134, Sigma: 6.1582891, Evaluari medii: 6000000.0000000, Rulari: 50
Functia: DeJong1, Dimensiune: 100, Strategie: First Improvement, Best: 714.6041436, Worst: 993.8872920, Mean: 864.8192387, Sigma: 62.9535921, Evaluari medii: 20000001.1200000, Rulari: 50
Functia: DeJong1, Dimensiune: 100, Strategie: Best Improvement, Best: 692.3683011, Worst: 1084.6602300, Mean: 860.1955572, Sigma: 70.5698667, Evaluari medii: 20000001.0000000, Rulari: 50
Functia: DeJong1, Dimensiune: 100, Strategie: Worst Improvement, Best: 671.3677721, Worst: 1019.3009881, Mean: 870.8256716, Sigma: 71.9434965, Evaluari medii: 20000001.0000000, Rulari: 50
Functia: DeJong1, Dimensiune: 100, Strategie: Simulated Annealing, Best: 448.8022294, Worst: 506.1146391, Mean: 482.2829280, Sigma: 12.6134465, Evaluari medii: 20000000.0000000, Rulari: 50
Functia: Rastrigin, Dimensiune: 5, Strategie: First Improvement, Best: 41.4553203, Worst: 147.2645091, Mean: 89.3765650, Sigma: 22.2114951, Evaluari medii: 1000000.6000000, Rulari: 50
Functia: Rastrigin, Dimensiune: 5, Strategie: Best Improvement, Best: 30.6569279, Worst: 136.2319181, Mean: 95.0283495, Sigma: 24.3546919, Evaluari medii: 1000001.0000000, Rulari: 50
Functia: Rastrigin, Dimensiune: 5, Strategie: Worst Improvement, Best: 50.5134323, Worst: 154.3339860, Mean: 95.0420167, Sigma: 23.1459812, Evaluari medii: 1000001.0000000, Rulari: 50
