Functia: DeJong1, Dimensiune: 5, Strategie: First Improvement, Best: 2.2040448, Worst: 86.3817722, Mean: 42.8293369, Sigma: 17.5984668, Evaluari medii: 2000000.8000000, Rulari: 50
Functia: DeJong1, Dimensiune: 5, Strategie: Best Improvement, Best: 10.4594373, Worst: 90.4276581, Mean: 40.7133474, Sigma: 17.5563318, Evaluari medii: 2000001.0000000, Rulari: 50
Functia: DeJong1, Dimensiune: 5, Strategie: Worst Improvement, Best: 10.6288222, Worst: 95.6565855, Mean: 41.2994996, Sigma: 16.5824247, Evaluari medii: 2000001.0000000, Rulari: 50
Functia: DeJong1, Dimensiune: 5, Strategie: Simulated Annealing, Best: 0.0463612, Worst: 0.2663511, Mean: 0.1503911, Sigma: 0.0665760, Evaluari medii: 2000000.0000000, Rulari: 50
Functia: DeJong1, Dimensiune: 10, Strategie: First Improvement, Best: 40.6551482, Worst: 148.7708677, Mean: 87.3857148, Sigma: 24.2862038, Evaluari medii: 4000000.7000000, Rulari: 50
Functia: DeJong1, Dimensiune: 10, Strategie: Best Improvement, Best: 36.9272603, Worst: 137.5728517, Mean: 85.9193921, Sigma: 23.6021683, Evaluari medii: 4000001.0000000, Rulari: 50
Functia: DeJong1, Dimensiune: 10, Strategie: Worst Improvement, Best: 44.6426824, Worst: 162.6372951, Mean: 86.5900655, Sigma: 26.8700205, Evaluari medii: 4000001.0000000, Rulari: 50
Functia: DeJong1, Dimensiune: 10, Strategie: Simulated Annealing, Best: 2.0819047, Worst: 5.3999118, Mean: 3.6127990, Sigma: 0.8210788, Evaluari medii: 4000000.0000000, Rulari: 50
Functia: DeJong1, Dimensiune: 30, Strategie: First Improvement, Best: 197.3418358, Worst: 379.8275777, Mean: 271.1144124, Sigma: 45.0602481, Evaluari medii: 12000000.6600000, Rulari: 50
Functia: DeJong1, Dimensiune: 30, Strategie: Best Improvement, Best: 178.1413503, Worst: 376.1078558, Mean: 257.7381446, Sigma: 48.8130983, Evaluari medii: 12000001.0000000, Rulari: 50
Functia: DeJong1, Dimensiune: 30, Strategie: Worst Improvement, Best: 149.5519985, Worst: 367.3391676, Mean: 269.1096203, Sigma: 48.4010519, Evaluari medii: 12000001.0000000, Rulari: 50
Functia: DeJong1, Dimensiune: 30, Strategie: Simulated Annealing, Best: 59.2248596, Worst: 81.2811136, Mean: 70.5046044, Sigma: 4.7958755, Evaluari medii: 12000000.0000000, Rulari: 50
Functia: DeJong1, Dimensiune: 100, Strategie: First Improvement, Best: 669.3949150, Worst: 1037.8618964, Mean: 862.6488870, Sigma: 76.1133543, Evaluari medii: 40000001.2400000, Rulari: 50
Functia: DeJong1, Dimensiune: 100, Strategie: Best Improvement, Best: 717.9304471, Worst: 1034.5308289, Mean: 851.6411971, Sigma: 80.8433795, Evaluari medii: 40000001.0000000, Rulari: 50
Functia: DeJong1, Dimensiune: 100, Strategie: Worst Improvement, Best: 678.5120079, Worst: 1077.5686427, Mean: 874.1652281, Sigma: 88.2742372, Evaluari medii: 40000001.0000000, Rulari: 50
Functia: DeJong1, Dimensiune: 100, Strategie: Simulated Annealing, Best: 440.7916204, Worst: 493.8296698, Mean: 476.2503215, Sigma: 11.8698257, Evaluari medii: 40000000.0000000, Rulari: 50
Functia: Rastrigin, Dimensiune: 5, Strategie: First Improvement, Best: 52.0664696, Worst: 130.2415476, Mean: 94.1211886, Sigma: 19.6993015, Evaluari medii: 2000000.8400000, Rulari: 50
Functia: Rastrigin, Dimensiune: 5, Strategie: Best Improvement, Best: 27.4100917, Worst: 139.6805665, Mean: 87.2281479, Sigma: 23.7140427, Evaluari medii: 2000001.0000000, Rulari: 50
Functia: Rastrigin, Dimensiune: 5, Strategie: Worst Improvement, Best: 47.0993296, Worst: 124.1684414, Mean: 90.9324665, Sigma: 18.0610426, Evaluari medii: 2000001.0000000, Rulari: 50
Functia: Rastrigin, Dimensiune: 5, Strategie: Simulated Annealing, Best: 3.6999621, Worst: 8.3845859, Mean: 5.8407365, Sigma: 1.1523278, Evaluari medii: 2000000.0000000, Rulari: 50
Functia: Rastrigin, Dimensiune: 10, Strategie: First Improvement, Best: 110.8410939, Worst: 220.3891201, Mean: 173.3310839, Sigma: 30.0772497, Evaluari medii: 4000000.7400000, Rulari: 50
Functia: Rastrigin, Dimensiune: 10, Strategie: Best Improvement, Best: 111.7620630, Worst: 245.1421908, Mean: 187.1080513, Sigma: 29.3383069, Evaluari medii: 4000001.0000000, Rulari: 50
Functia: Rastrigin, Dimensiune: 10, Strategie: Worst Improvement, Best: 112.8688879, Worst: 244.6646069, Mean: 182.8726031, Sigma: 28.6499315, Evaluari medii: 4000001.0000000, Rulari: 50
Functia: Rastrigin, Dimensiune: 10, Strategie: Simulated Annealing, Best: 23.8330221, Worst: 47.3395350, Mean: 39.9719489, Sigma: 4.8125814, Evaluari medii: 4000000.0000000, Rulari: 50
